# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000004 04 02 00   4.76840410 9.41658800
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000004 04 04 00   3.96359299 15.63697700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 01 01 00   5.27260491 5.22032600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 04 01 00   5.66178397 5.54434700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 08 01 00   5.94544811 5.86436600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 08 02 00   6.08427907 11.92874500
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 08 04 00   6.23329906 24.47352900
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000008 08 08 00   10.91998701 42.92668300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 01 01 00   6.08084703 5.98437400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 02 01 00   6.22389501 6.10038100
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 02 02 00   7.18267495 14.15288400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 01 00   8.07137906 7.81248800
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 02 00   8.37721308 16.40902600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 04 00   9.14054792 35.73823300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 08 00   13.86209610 53.43134000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000016 16 16 00   33.24022799 129.46809200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 02 01 00   7.16725404 7.13244600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 02 02 00   8.38961691 16.55303500
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 04 01 00   7.50573412 7.37646100
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 04 02 00   8.38864708 16.48103000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 04 04 00   9.72673199 37.80636300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 08 01 00   7.55863407 7.39246200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 08 02 00   8.75502090 17.10506900
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 08 04 00   10.05221608 39.03444000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 08 08 00   17.97853205 69.63635200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 01 00   9.04629712 8.69254400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 02 00   9.79724699 19.24520300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 04 00   10.66942204 41.00656300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 08 00   17.71379306 68.83230200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000032 16 16 00   40.67662103 154.08963000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 04 01 00   9.30222700 9.16457300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 08 01 00   9.26416890 9.16857300
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 08 02 00   10.06505811 19.66922900
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 08 04 00   11.78238995 45.56284800
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 08 08 00   20.99542595 81.06106600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 01 00   9.93302499 9.82861400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 02 00   11.39035192 21.98137400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 04 00   12.53596588 47.96699700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 08 00   21.23426012 80.98506200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 16 00   47.15243399 175.31895600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 01 00   10.48720111 10.34464700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 02 00   13.80461389 26.06962900
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 04 00   12.19577895 47.05894100
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 08 00   24.97599600 93.21782600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 01 00   12.51509504 12.12475700
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 02 00   14.06786392 26.82167600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 04 00   13.39791607 51.05519000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 08 00   31.02963702 110.17888600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 16 00   73.28384098 250.32364400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000001 01 01 00   5.53058589 5.47234200
