# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   002048 02 01 01   113.56728292 112.87905500
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   002048 02 01 02   113.57300591 112.92705800
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   004096 02 01 00   113.97124505 112.90305600
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   004096 02 01 01   113.76490617 112.78704900
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   004096 02 01 02   114.16562605 113.13907100
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   008192 02 01 00   116.40491199 115.43921500
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   008192 02 01 01   116.60303783 115.52722000
Bench_McLachlan_Carpet_1lev 000010 0065 franklin   008192 02 01 02   115.90732098 114.95518400
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000001 01 01 00   117.32653785 116.89530500
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000002 02 01 00   168.53221107 167.93849600
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000004 02 01 00   137.91989899 137.24057700
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000008 02 01 00   159.12551999 158.00587500
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000016 02 01 00   165.93974590 165.01831300
Bench_McLachlan_Carpet_1lev 000010 0080 franklin   000032 02 01 00   171.84235120 170.82667600
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000008 02 01 00   132.24491286 129.82411300
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000008 02 01 01   132.35216093 130.36814700
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000008 02 01 02   132.05579686 130.07612900
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000016 02 01 00   151.08754301 149.25732800
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000016 02 01 01   151.10686302 149.27332900
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000016 02 01 02   150.98769784 149.04531500
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000032 02 01 00   172.40422106 170.98668600
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000032 02 01 01   172.36404800 170.58266000
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000032 02 01 02   172.53581905 170.95468400
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000064 02 01 00   194.35457492 193.06006600
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000064 02 01 01   193.92390990 192.64004000
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000064 02 01 02   194.88674092 193.78011000
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000128 02 01 00   191.82234097 190.65591600
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000128 02 01 01   191.57755303 190.31989400
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000128 02 01 02   191.61062098 190.27189100
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000256 02 01 00   197.08758307 195.82823900
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000256 02 01 01   197.89743805 196.62828800
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000256 02 01 02   194.76561594 193.50009300
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000512 02 01 00   230.10064602 228.60628700
Bench_McLachlan_Carpet_9lev 000064 0025 franklin   000512 02 01 01   230.37394619 228.98631000
